Compound,Group,Lactic acid,2-Hydroxy-2-methylbutyric acid,3-hydroxybutyric acid,3-hydroxy-2-methylbutyric,3-Hydroxyisovaleric acid,2-ethyl-3-hydroxypropionic,Ethylmalonic acid,Succinic acid,2-Methylsuccinic acid,5-hydroxyhexanoic,Glutaric acid,"2,4-dihydroxybutanoic",3-methylglutaric,3-Methyladipic acid,Sumiki's acid,Oxoglutaric acid,p-Hydroxyphenylacetic acid,Suberic acid,3-(3-Hydroxyphenyl)propanoic acid,Homovanillic acid,4-hydroxymandelic,Citric Acid,HPHPA,Vanillylmandelic acid,Hydroxyphenyllactic acid,1H-Indole-3-acetic acid
C001.mzXML,Ctrl,335.48,52.99,17.25,87.97,49.18,48.78,2.41,473.38,31,30.23,40.43,720.48,20.34,,225.95,79.39,135.94,11.73,,13.71,,1185.06,5.91,60.7,,50.37
C003.mzXML,Ctrl,338.92,255.66,16.34,334.78,188.82,117.61,,920.04,52.77,60.86,87.42,456.74,26.94,19.47,72.7,137.05,254.91,71.46,17.36,25.7,,1159.87,69.45,,2.91,
C004.mzXML,Ctrl,239.62,157.68,21.9,312.42,71.58,77.64,,349.41,26.23,38.57,52.03,,22.05,6.09,14.6,48.61,243.17,24.53,22.16,31.82,,1067.92,125.15,,2.91,
C005.mzXML,Ctrl,554.97,148.84,12.01,282.18,115.13,119.12,,328.83,28.77,54.99,,751.74,,0.78,162.86,46.37,240.54,13.18,,12.64,,866.22,6.6,,4.65,
C007.mzXML,Ctrl,296.35,345.56,11.4,263.49,177.58,57.83,,731.56,92.68,172.21,48.51,1126.93,39.46,29.08,17.84,119.45,468.67,25.47,,24.67,,1050.22,46.3,,4.12,
C008.mzXML,Ctrl,181.83,73.95,18.07,351.33,79.07,67.15,,990.93,26.7,45.93,78.4,347.72,20.52,5.91,172.75,26.84,191.17,19.25,15.45,11.86,,856.09,54.74,,2.5,162.82
C009.mzXML,Ctrl,191.63,116.58,31.54,422.55,85.08,142.26,,565.32,20.07,68.26,160,,20.78,7.59,88.82,44.48,257.92,36.01,13.72,16.05,,,58.95,,2.36,239.49
C012.mzXML,Ctrl,262.25,106.04,8.35,126.68,181.07,65.44,2.75,397.53,37.45,30.84,73.01,317.65,32.91,10.05,102.47,163.4,180.58,12.01,,30.7,,841.69,54.22,76.46,2.58,
C014.mzXML,Ctrl,210.75,63.34,27.21,127.24,57.68,30.55,,305.61,29.93,54.08,,569.51,20.71,,228.88,77.62,238.23,18.96,,7.88,,883.03,21.23,60.86,2.09,54.52
C015.mzXML,Ctrl,250,115.98,5.34,176.53,96.2,22.02,6.65,311.85,53.81,50.5,,757.58,21.84,,505.35,86.99,324.33,19.42,,10.12,,625.45,17.18,73.24,3.35,
C019.mzXML,Ctrl,105.16,58.36,34.6,248,63.25,80.13,9.5,749.97,54.18,53.99,43.39,191.48,19.91,,39.2,18.79,189.47,8.61,12.09,8.55,,,47.13,,4.03,165.75
C021.mzXML,Ctrl,181.54,55.07,,211.96,61.54,80.77,,586.87,39.49,35.51,34.01,331.32,21.13,,108.18,45.76,175.28,7.81,,12.12,96.44,873.62,32.8,53.93,2.45,65.84
C023.mzXML,Ctrl,106.65,12.95,21.4,162.73,61.74,48.55,,142.74,8.24,35.57,,99.28,18.22,,,49.93,149.05,4.43,,1.28,61.53,871.11,4.83,32.08,0.9,30.77
C024.mzXML,Ctrl,378.78,46.73,8.42,171.34,259.65,58.16,,310.3,29.16,45.15,55.34,509.48,,0.44,259.56,61.6,198.34,10.13,,11.93,,834.6,8.4,76.25,3.21,60.9
C026.mzXML,Ctrl,206.12,21.51,,69.91,21.29,27.41,1.65,1018.22,33.25,140.41,36.95,236.1,21.83,,251.78,16.99,165.73,5.41,,8.56,146,1078.68,17.78,42.9,1.38,53.06
C028.mzXML,Ctrl,246.07,101.41,46.62,140.43,139.69,102.61,1.06,751.79,23.26,93.94,52.97,288.98,20.81,,206.66,23.29,218.87,55.9,,8.53,,,7.84,,2.18,99.86
