sample,Control_115,Control_130,Control_132,Control_133,Control_136,Control_53,Control_61,Control_62,Control_64,Control_68,Control_69,Control_70,Control_71,Control_72,Control_73,CKD_105,CKD_106,CKD_108,CKD_110,CKD_112,CKD_124,CKD_125,CKD_126,CKD_128,CKD_129,CKD_63,CKD_65,CKD_96,CKD_98,CKD_99
class,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD
271.917/2.1,478010.8071,597108.3564,566553.8207,387851.7555,423871.2465,276540.1169,620433.6265,362187.293,695444.4275,618803.7954,608514.32,282509.3431,424219.7642,738729.8838,447182.2873,225077.6146,185770.4396,33432.71482,10000,10000,506235.9447,78290.32059,20564.08911,93047.36245,14551.97426,16134.65838,511647.8573,78910.19386,6268.93773,36540.92102
206.024/2.1,1520466.206,1901169.971,1548475.019,551009.6453,1456289.571,757376.6157,1513933.712,594703.7092,1783238.661,1007703.954,1118676.217,1060587.694,1325014.661,1579621.939,1148540.847,393769.6895,429194.4594,311331.2429,70494.47174,94900.12035,1474524.624,369911.1412,129665.8093,491465.3046,150326.0948,218515.9423,732532.7275,285051.1749,63127.47587,204085.0018
247.108/15,248962.5027,864348.8583,396678.2387,1122475.931,632200.4389,1557456.871,1278300.08,589524.6646,401158.5849,348220.5423,674234.6603,383265.141,398677.2451,172867.6118,283430.1151,2111217.981,2857434.229,1251525.851,1974656.425,2057539.46,1178956.32,567309.9843,1769812.236,2011256.081,2731940.137,2184834.766,836379.602,1710128.273,1558238.087,1654667.833
185.024/2.1,3937041.659,5546655.932,3731346.339,2176405.803,3330333.336,2291350.472,7575040.339,3112841.838,4399058.134,3789449.973,7086973.314,1866417.245,3416317.369,6741479.772,2878595.099,1146767.109,891427.5834,694774.619,528271.8562,380797.6592,5220851.798,1020530.492,665177.424,847584.7236,483952.2575,653268.2091,3058033.845,489972.3161,582965.873,504911.5337
110.03/2.3,692786.465,1010848.505,604422.8147,4753201.673,638020.001,9441458.063,1368679.052,532178.4278,865145.9086,694429.4278,1389583.78,401300.8157,641088.8577,707893.6057,532222.4104,6831834.145,10325536.56,13267499.19,5598919.872,3295831.759,1863832.581,4823266.625,8123266.332,3880137.551,14597099.22,7437518.715,10249039.08,10314383.45,5801540.196,4760959.225
195.026/2.1,155823.596,134798.7551,329996.5992,14466.66994,142591.6792,201916.5095,45782.54963,110493.9444,82850.95424,204944.7151,119404.2779,197957.1714,100645.4346,111183.329,130079.2356,409540.6925,409029.9667,684495.7258,563185.4547,587643.198,167077.3912,358326.8459,64157.66817,306091.4339,336754.725,435882.7885,228982.8729,671486.5299,336059.7951,477996.4141
201.019/2.1,1017570.905,1087378.183,886108.1372,566985.8587,753513.5409,478636.1042,1040875.683,468687.9877,871624.6487,592356.2455,923507.1354,486585.0917,710346.5097,694351.8243,596826.0798,391707.2842,270579.8385,222779.1993,100006.1049,68308.8202,1224844.181,267672.1355,112005.1239,303595.3607,90980.24437,181153.5443,499188.4084,225225.1448,375834.5575,170347.7532
138.511/2.1,2261665.61,4408136.192,3629534.975,5291343.944,2550398.281,3238434.511,6675735.695,3616174.3,2719749.61,2096889.457,4744544.343,1344421.072,2549357.23,2386836.093,3015982.988,738287.428,1392724.676,1049304.128,179901.0373,162767.2962,4840154.733,993950.6792,903536.0704,1008991.196,1100509.977,475845.2029,2914447.099,636962.9253,149120.3371,345210.3843
90.526/2.1,23307213.28,37782619.95,20819309.97,31608132.04,21335994.09,16082870.44,55637700.44,21558745.61,28137034.48,17390755.89,35320084.7,12000111.06,22734049.94,31434271,20204441.4,6923907.76,6707964.586,5165537.588,1323511.064,1166202.827,45774146.07,6428142.25,4369138.649,6991724.821,4635853.658,3571304.352,18666821.04,3468652.285,2016157.129,2675643.41
